# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/NR5a2
#
# total peaks = 32235
# peak size = 134
# peaks found using tags on both strands
# minimum distance between peaks = 268
# fragment length = 122
# genome size = 2000000000
# Total tags = 12320924.0
# Total tags in peaks = 1164991.0
# Approximate IP efficiency = 9.46%
# tags per bp = 0.005291
# expected tags per peak = 0.709
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 8.447811e-07
# FDR tag threshold = 8.0
# number of putative peaks = 59162
#
# input tag directory = /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 23234
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3687
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 6
#
# cmd = findPeaks /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/NR5a2 -i /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr6-845	chr6	8221186	8221320	+	17.9	0.774	21.000000	18.6	1.0	18.59	6.06e-17	25.71	1.23e-23	0.85
chr6-1018	chr6	14979549	14979683	+	17.9	0.889	18.000000	18.6	0.5	37.17	3.61e-22	36.00	9.54e-27	0.99
chr6-897	chr6	15843153	15843287	+	17.9	0.846	20.000000	18.6	0.5	37.17	3.61e-22	30.00	4.66e-25	0.85
chr6-846	chr6	28369691	28369825	+	17.9	0.862	21.000000	18.6	1.0	18.59	6.06e-17	7.01	3.75e-12	0.85
chr6-1021	chr6	29817091	29817225	+	17.9	0.724	18.000000	18.6	0.5	37.17	3.61e-22	13.84	5.19e-18	0.94
chr6-958	chr6	31121905	31122039	+	17.9	0.780	19.000000	18.6	2.0	9.29	6.19e-12	8.48	9.60e-14	0.89
chr6-906	chr6	38793080	38793214	+	17.9	0.676	20.000000	18.6	1.0	18.59	6.06e-17	5.26	7.80e-10	0.85
chr6-1096	chr6	39542735	39542869	+	17.9	0.722	17.000000	18.6	4.0	4.65	2.48e-07	13.61	7.35e-18	0.99
chr6-1361	chr6	40984941	40985075	+	17.9	0.846	14.000000	18.6	2.0	9.29	6.19e-12	5.49	3.57e-10	1.21
chr6-964	chr6	41240750	41240884	+	17.9	0.920	19.000000	18.6	1.0	18.59	6.06e-17	7.40	1.36e-12	0.94
chr6-817	chr6	41303989	41304123	+	17.9	0.700	22.000000	18.6	2.0	9.29	6.19e-12	33.75	3.79e-26	0.80
chr6-818	chr6	41775212	41775346	+	17.9	0.794	22.000000	18.6	3.0	6.20	3.57e-09	27.93	2.13e-24	0.80
chr6-854	chr6	43472002	43472136	+	17.9	0.788	21.000000	18.6	2.0	9.29	6.19e-12	26.13	8.74e-24	0.85
chr6-1028	chr6	47829372	47829506	+	17.9	0.759	18.000000	18.6	1.0	18.59	6.06e-17	15.28	6.82e-19	0.94
chr6-856	chr6	51235370	51235504	+	17.9	0.885	21.000000	18.6	0.5	37.17	3.61e-22	9.88	4.76e-15	0.85
chr6-910	chr6	52642847	52642981	+	17.9	0.833	20.000000	18.6	1.0	18.59	6.06e-17	23.14	1.13e-22	0.85
chr6-1177	chr6	72187175	72187309	+	17.9	0.867	16.000000	18.6	3.0	6.20	3.57e-09	12.86	2.36e-17	1.06
chr6-1050	chr6	88015177	88015311	+	17.9	0.923	18.000000	18.6	1.0	18.59	6.06e-17	27.45	3.06e-24	0.94
chr6-830	chr6	94483950	94484084	+	17.9	0.667	22.000000	18.6	1.0	18.59	6.06e-17	7.64	7.26e-13	0.85
chr6-1058	chr6	94831246	94831380	+	17.9	0.719	18.000000	18.6	3.0	6.20	3.57e-09	8.48	9.60e-14	0.94
chr6-984	chr6	94953550	94953684	+	17.9	0.694	19.000000	18.6	1.0	18.59	6.06e-17	4.10	6.07e-08	0.89
chr6-987	chr6	99289642	99289776	+	17.9	0.821	19.000000	18.6	2.0	9.29	6.19e-12	9.26	1.72e-14	0.89
chr6-988	chr6	99319961	99320095	+	17.9	0.857	19.000000	18.6	2.0	9.29	6.19e-12	14.59	1.76e-18	0.89
chr6-876	chr6	100610534	100610668	+	17.9	0.676	21.000000	18.6	4.0	4.65	2.48e-07	16.20	2.05e-19	0.80
chr6-990	chr6	100612367	100612501	+	17.9	0.920	19.000000	18.6	1.0	18.59	6.06e-17	17.23	5.67e-20	0.94
chr6-1066	chr6	113117074	113117208	+	17.9	0.781	18.000000	18.6	4.0	4.65	2.48e-07	22.50	2.05e-22	0.94
chr6-880	chr6	114825088	114825222	+	17.9	0.676	21.000000	18.6	3.0	6.20	3.57e-09	6.83	6.11e-12	0.80
chr6-883	chr6	115936188	115936322	+	17.9	0.585	21.000000	18.6	2.0	9.29	6.19e-12	5.76	1.47e-10	0.85
chr6-1068	chr6	120481658	120481792	+	17.9	0.757	18.000000	18.6	4.0	4.65	2.48e-07	19.52	4.23e-21	0.99
chr6-935	chr6	124633648	124633782	+	17.9	0.564	20.000000	18.6	2.0	9.29	6.19e-12	12.09	8.24e-17	0.89
chr6-1007	chr6	124691173	124691307	+	17.9	0.710	19.000000	18.6	3.0	6.20	3.57e-09	8.62	7.04e-14	0.89
chr6-936	chr6	124880300	124880434	+	17.9	0.641	20.000000	18.6	1.0	18.59	6.06e-17	8.53	8.66e-14	0.89
chr6-939	chr6	127276210	127276344	+	17.9	0.684	20.000000	18.6	1.0	18.59	6.06e-17	8.35	1.30e-13	0.89
chr6-945	chr6	145959035	145959169	+	17.9	0.694	20.000000	18.6	2.0	9.29	6.19e-12	16.70	1.09e-19	0.89
chr7-1120	chr7	16589897	16590031	+	17.9	0.756	19.000000	18.6	2.0	9.29	6.19e-12	8.85	4.15e-14	0.89
chr7-1053	chr7	28293800	28293934	+	17.9	0.737	20.000000	18.6	3.0	6.20	3.57e-09	10.45	1.55e-15	0.89
chr7-1127	chr7	30191979	30192113	+	17.9	0.659	19.000000	18.6	3.0	6.20	3.57e-09	12.09	8.24e-17	0.99
chr7-999	chr7	30256450	30256584	+	17.9	0.889	21.000000	18.6	1.0	18.59	6.06e-17	6.02	6.56e-11	0.85
chr7-1000	chr7	30527353	30527487	+	17.9	0.649	21.000000	18.6	4.0	4.65	2.48e-07	24.54	3.27e-23	0.85
chr7-1131	chr7	35948740	35948874	+	17.9	0.781	19.000000	18.6	4.0	4.65	2.48e-07	20.25	1.96e-21	0.94
chr7-1004	chr7	51780661	51780795	+	17.9	0.774	21.000000	18.6	3.0	6.20	3.57e-09	9.88	4.76e-15	0.80
chr7-1133	chr7	51845899	51846033	+	17.9	0.694	19.000000	18.6	3.0	6.20	3.57e-09	13.28	1.22e-17	0.94
chr7-1061	chr7	52128090	52128224	+	17.9	0.742	20.000000	18.6	1.0	18.59	6.06e-17	8.22	1.75e-13	0.89
chr7-1136	chr7	56779288	56779422	+	17.9	0.821	19.000000	18.6	3.0	6.20	3.57e-09	7.53	9.52e-13	0.89
chr7-1307	chr7	63114310	63114444	+	17.9	0.920	17.000000	18.6	1.0	18.59	6.06e-17	21.31	6.67e-22	0.99
chr7-1222	chr7	73047443	73047577	+	17.9	0.923	18.000000	18.6	0.5	37.17	3.61e-22	21.04	8.77e-22	0.94
chr7-1308	chr7	73221398	73221532	+	17.9	0.852	17.000000	18.6	1.0	18.59	6.06e-17	12.27	6.08e-17	0.99
chr7-1412	chr7	73514350	73514484	+	17.9	0.750	16.000000	18.6	3.0	6.20	3.57e-09	17.61	3.62e-20	1.06
chr7-1138	chr7	75285303	75285437	+	17.9	0.694	19.000000	18.6	2.0	9.29	6.19e-12	18.41	1.44e-20	0.89
chr7-1071	chr7	77770378	77770512	+	17.9	0.707	20.000000	18.6	3.0	6.20	3.57e-09	9.70	6.82e-15	0.85
chr7-1315	chr7	78557050	78557184	+	17.9	0.818	17.000000	18.6	3.0	6.20	3.57e-09	16.04	2.51e-19	1.13
chr7-1229	chr7	80745873	80746007	+	17.9	0.880	18.000000	18.6	3.0	6.20	3.57e-09	19.06	6.96e-21	0.94
chr7-1230	chr7	81703189	81703323	+	17.9	0.786	18.000000	18.6	1.0	18.59	6.06e-17	14.73	1.46e-18	0.94
chr7-1077	chr7	83004900	83005034	+	17.9	0.806	20.000000	18.6	2.0	9.29	6.19e-12	21.31	6.67e-22	0.99
chr7-1083	chr7	87251065	87251199	+	17.9	0.758	20.000000	18.6	2.0	9.29	6.19e-12	14.21	3.05e-18	0.89
chr7-1021	chr7	89003658	89003792	+	17.9	0.710	21.000000	18.6	2.0	9.29	6.19e-12	16.20	2.05e-19	0.80
chr7-963	chr7	89916507	89916641	+	17.9	0.844	22.000000	18.6	0.5	37.17	3.61e-22	14.73	1.46e-18	0.85
chr7-1148	chr7	105531967	105532101	+	17.9	0.763	19.000000	18.6	3.0	6.20	3.57e-09	5.36	5.47e-10	0.94
chr7-1093	chr7	108609187	108609321	+	17.9	0.707	20.000000	18.6	4.0	4.65	2.48e-07	8.53	8.66e-14	0.89
chr7-1244	chr7	109541121	109541255	+	17.9	0.750	18.000000	18.6	0.5	37.17	3.61e-22	9.36	1.37e-14	0.94
chr7-967	chr7	116719926	116720060	+	17.9	0.694	22.000000	18.6	2.0	9.29	6.19e-12	15.43	5.61e-19	0.85
chr7-1246	chr7	116771380	116771514	+	17.9	0.765	18.000000	18.6	0.5	37.17	3.61e-22	12.86	2.36e-17	0.99
chr7-1097	chr7	117791949	117792083	+	17.9	0.667	20.000000	18.6	2.0	9.29	6.19e-12	7.04	3.46e-12	0.85
chr7-1159	chr7	119460483	119460617	+	17.9	0.735	19.000000	18.6	3.0	6.20	3.57e-09	4.85	3.32e-09	0.89
chr7-1248	chr7	119848674	119848808	+	17.9	0.893	18.000000	18.6	1.0	18.59	6.06e-17	13.17	1.44e-17	0.94
chr7-1250	chr7	121238829	121238963	+	17.9	0.885	18.000000	18.6	4.0	4.65	2.48e-07	13.39	1.03e-17	0.99
chr7-1251	chr7	121436266	121436400	+	17.9	0.714	18.000000	18.6	4.0	4.65	2.48e-07	17.42	4.54e-20	0.99
chr7-1100	chr7	123450577	123450711	+	17.9	0.750	20.000000	18.6	2.0	9.29	6.19e-12	10.80	8.01e-16	0.89
chr7-1030	chr7	124576873	124577007	+	17.9	0.619	21.000000	18.6	1.0	18.59	6.06e-17	7.60	7.95e-13	0.89
chr7-1254	chr7	124896901	124897035	+	17.9	0.703	18.000000	18.6	2.0	9.29	6.19e-12	9.10	2.41e-14	0.99
chr7-1163	chr7	125754998	125755132	+	17.9	0.714	19.000000	18.6	3.0	6.20	3.57e-09	11.33	3.07e-16	0.94
chr7-1164	chr7	126656677	126656811	+	17.9	0.933	19.000000	18.6	1.0	18.59	6.06e-17	15.00	1.00e-18	0.94
chr7-1031	chr7	129296678	129296812	+	17.9	0.781	21.000000	18.6	0.5	37.17	3.61e-22	9.00	3.00e-14	0.85
chr7-1259	chr7	129572857	129572991	+	17.9	0.781	18.000000	18.6	2.0	9.29	6.19e-12	34.46	2.42e-26	0.94
chr7-1032	chr7	134150005	134150139	+	17.9	0.889	21.000000	18.6	2.0	9.29	6.19e-12	19.06	6.96e-21	0.85
chr7-1109	chr7	137852663	137852797	+	17.9	0.617	20.000000	18.6	1.0	18.59	6.06e-17	12.00	9.58e-17	0.89
chr7-1168	chr7	138379996	138380130	+	17.9	0.632	19.000000	18.6	2.0	9.29	6.19e-12	9.36	1.37e-14	0.99
chr7-1353	chr7	139852243	139852377	+	17.9	0.778	17.000000	18.6	2.0	9.29	6.19e-12	14.46	2.12e-18	1.06
chr7-1172	chr7	140354961	140355095	+	17.9	0.765	19.000000	18.6	0.5	37.17	3.61e-22	9.94	4.22e-15	0.89
chr7-1475	chr7	140662109	140662243	+	17.9	0.846	16.000000	18.6	2.0	9.29	6.19e-12	41.53	4.44e-28	1.06
chr7-987	chr7	146467156	146467290	+	17.9	0.893	22.000000	18.6	4.0	4.65	2.48e-07	20.00	2.54e-21	0.80
chr7-1282	chr7	151966293	151966427	+	17.9	0.821	18.000000	18.6	1.0	18.59	6.06e-17	14.73	1.46e-18	0.94
chr7-991	chr7	152412774	152412908	+	17.9	0.750	22.000000	18.6	0.5	37.17	3.61e-22	4.74	5.04e-09	0.80
chr7-1361	chr7	152419473	152419607	+	17.9	0.846	17.000000	18.6	4.0	4.65	2.48e-07	4.70	5.88e-09	0.99
chr8-838	chr8	3237413	3237547	+	17.9	0.651	21.000000	18.6	4.0	4.65	2.48e-07	6.28	3.02e-11	0.80
chr8-773	chr8	3256241	3256375	+	17.9	0.684	22.000000	18.6	2.0	9.29	6.19e-12	7.60	7.95e-13	0.85
chr8-1033	chr8	4238478	4238612	+	17.9	0.788	18.000000	18.6	4.0	4.65	2.48e-07	13.17	1.44e-17	0.94
chr8-1039	chr8	18739002	18739136	+	17.9	0.793	18.000000	18.6	3.0	6.20	3.57e-09	16.87	8.78e-20	0.99
chr8-778	chr8	23977718	23977852	+	17.9	0.632	22.000000	18.6	3.0	6.20	3.57e-09	17.23	5.67e-20	0.80
chr8-845	chr8	35080828	35080962	+	17.9	0.703	21.000000	18.6	2.0	9.29	6.19e-12	11.91	1.11e-16	0.89
chr8-849	chr8	37354037	37354171	+	17.9	0.675	21.000000	18.6	3.0	6.20	3.57e-09	17.61	3.62e-20	0.85
chr8-1128	chr8	42159885	42160019	+	17.9	0.774	17.000000	18.6	1.0	18.59	6.06e-17	19.06	6.96e-21	1.06
chr8-851	chr8	46353385	46353519	+	17.9	0.675	21.000000	18.6	4.0	4.65	2.48e-07	25.71	1.23e-23	0.85
chr8-792	chr8	47576268	47576402	+	17.9	0.659	22.000000	18.6	1.0	18.59	6.06e-17	5.33	6.16e-10	0.85
chr8-1131	chr8	70806242	70806376	+	17.9	0.844	17.000000	18.6	2.0	9.29	6.19e-12	9.15	2.16e-14	0.99
chr8-1132	chr8	71795223	71795357	+	17.9	0.821	17.000000	18.6	2.0	9.29	6.19e-12	8.57	7.81e-14	0.99
chr8-798	chr8	72427016	72427150	+	17.9	0.667	22.000000	18.6	3.0	6.20	3.57e-09	9.76	6.06e-15	0.80
chr8-1136	chr8	72972286	72972420	+	17.9	0.812	17.000000	18.6	0.5	37.17	3.61e-22	12.18	7.08e-17	1.06
chr8-1142	chr8	81884839	81884973	+	17.9	0.667	17.000000	18.6	1.0	18.59	6.06e-17	12.96	2.01e-17	0.99
chr8-1237	chr8	86592333	86592467	+	17.9	0.741	16.000000	18.6	3.0	6.20	3.57e-09	6.56	1.33e-11	1.06
chr8-1063	chr8	87294567	87294701	+	17.9	0.667	18.000000	18.6	4.0	4.65	2.48e-07	8.62	7.04e-14	1.06
chr8-1146	chr8	87371427	87371561	+	17.9	0.683	17.000000	18.6	1.0	18.59	6.06e-17	10.12	2.91e-15	1.06
chr8-1067	chr8	87642155	87642289	+	17.9	0.815	18.000000	18.6	1.0	18.59	6.06e-17	13.61	7.35e-18	0.99
chr8-1244	chr8	93458091	93458225	+	17.9	0.920	16.000000	18.6	1.0	18.59	6.06e-17	14.59	1.76e-18	1.06
chr8-940	chr8	93462562	93462696	+	17.9	0.848	20.000000	18.6	3.0	6.20	3.57e-09	14.21	3.05e-18	0.89
chr8-1072	chr8	97491040	97491174	+	17.9	0.758	18.000000	18.6	0.5	37.17	3.61e-22	8.06	2.59e-13	0.94
chr8-812	chr8	106907325	106907459	+	17.9	0.605	22.000000	18.6	0.5	37.17	3.61e-22	4.98	2.04e-09	0.80
chr8-876	chr8	107747466	107747600	+	17.9	0.793	21.000000	18.6	0.5	37.17	3.61e-22	7.57	8.70e-13	0.85
chr8-1002	chr8	109094449	109094583	+	17.9	0.683	19.000000	18.6	3.0	6.20	3.57e-09	8.22	1.75e-13	0.89
chr8-817	chr8	109589436	109589570	+	17.9	0.757	22.000000	18.6	2.0	9.29	6.19e-12	6.78	7.16e-12	0.80
chr8-1164	chr8	112319221	112319355	+	17.9	0.667	17.000000	18.6	0.5	37.17	3.61e-22	7.10	2.93e-12	0.99
chr8-1081	chr8	114317473	114317607	+	17.9	0.737	18.000000	18.6	0.5	37.17	3.61e-22	9.53	9.71e-15	0.99
chr8-1009	chr8	114320508	114320642	+	17.9	0.651	19.000000	18.6	4.0	4.65	2.48e-07	8.66	6.35e-14	0.99
chr8-947	chr8	117298102	117298236	+	17.9	0.758	20.000000	18.6	4.0	4.65	2.48e-07	11.25	3.53e-16	0.85
chr8-821	chr8	117405970	117406104	+	17.9	0.600	22.000000	18.6	4.0	4.65	2.48e-07	8.85	4.15e-14	0.85
chr8-1083	chr8	118698087	118698221	+	17.9	0.758	18.000000	18.6	3.0	6.20	3.57e-09	14.21	3.05e-18	0.99
chr8-948	chr8	119444934	119445068	+	17.9	0.727	20.000000	18.6	4.0	4.65	2.48e-07	13.06	1.70e-17	0.89
chr8-1087	chr8	121937859	121937993	+	17.9	0.649	18.000000	18.6	0.5	37.17	3.61e-22	12.86	2.36e-17	0.94
chr8-1103	chr8	128526112	128526246	+	17.9	0.771	18.000000	18.6	0.5	37.17	3.61e-22	9.10	2.41e-14	0.99
chr8-1107	chr8	129623746	129623880	+	17.9	0.958	18.000000	18.6	2.0	9.29	6.19e-12	24.18	4.50e-23	0.99
chr8-958	chr8	129663211	129663345	+	17.9	0.846	20.000000	18.6	4.0	4.65	2.48e-07	14.86	1.21e-18	0.85
chr8-908	chr8	130874395	130874529	+	17.9	0.605	21.000000	18.6	3.0	6.20	3.57e-09	17.42	4.54e-20	0.85
chr9-990	chr9	19426262	19426396	+	17.9	0.767	20.000000	18.6	1.0	18.59	6.06e-17	30.56	3.13e-25	0.85
chr9-1086	chr9	20608941	20609075	+	17.9	0.658	18.000000	18.6	0.5	37.17	3.61e-22	19.75	3.28e-21	1.06
chr9-1139	chr9	21759923	21760057	+	17.9	0.735	17.000000	18.6	4.0	4.65	2.48e-07	18.41	1.44e-20	0.99
chr9-1140	chr9	21792204	21792338	+	17.9	0.885	17.000000	18.6	4.0	4.65	2.48e-07	16.04	2.51e-19	1.06
chr9-998	chr9	22026051	22026185	+	17.9	0.929	20.000000	18.6	1.0	18.59	6.06e-17	12.96	2.01e-17	0.85
chr9-999	chr9	22266503	22266637	+	17.9	0.711	20.000000	18.6	4.0	4.65	2.48e-07	22.50	2.05e-22	0.89
chr9-1141	chr9	24979703	24979837	+	17.9	0.714	17.000000	18.6	4.0	4.65	2.48e-07	8.14	2.13e-13	0.99
chr9-1142	chr9	25059828	25059962	+	17.9	0.917	17.000000	18.6	3.0	6.20	3.57e-09	26.13	8.74e-24	0.99
chr9-1041	chr9	42809066	42809200	+	17.9	0.775	19.000000	18.6	0.5	37.17	3.61e-22	11.09	4.66e-16	0.89
chr9-1043	chr9	43047087	43047221	+	17.9	0.674	19.000000	18.6	4.0	4.65	2.48e-07	9.10	2.41e-14	0.89
chr9-1003	chr9	44841626	44841760	+	17.9	0.774	20.000000	18.6	2.0	9.29	6.19e-12	16.53	1.35e-19	0.89
chr9-829	chr9	44930434	44930568	+	17.9	0.732	23.000000	18.6	4.0	4.65	2.48e-07	10.52	1.36e-15	0.80
chr9-1097	chr9	46069340	46069474	+	17.9	0.812	18.000000	18.6	0.5	37.17	3.61e-22	27.45	3.06e-24	1.06
chr9-954	chr9	55359298	55359432	+	17.9	0.625	21.000000	18.6	4.0	4.65	2.48e-07	6.11	4.97e-11	0.85
chr9-890	chr9	55359619	55359753	+	17.9	0.757	22.000000	18.6	2.0	9.29	6.19e-12	6.18	4.02e-11	0.85
chr9-1099	chr9	55753693	55753827	+	17.9	0.675	18.000000	18.6	1.0	18.59	6.06e-17	24.92	2.37e-23	0.94
chr9-1050	chr9	56850964	56851098	+	17.9	0.676	19.000000	18.6	0.5	37.17	3.61e-22	31.15	2.09e-25	0.89
chr9-1100	chr9	57129407	57129541	+	17.9	0.781	18.000000	18.6	1.0	18.59	6.06e-17	7.07	3.18e-12	0.99
chr9-1161	chr9	58091691	58091825	+	17.9	0.742	17.000000	18.6	2.0	9.29	6.19e-12	7.60	7.95e-13	0.99
chr9-1051	chr9	60244068	60244202	+	17.9	0.846	19.000000	18.6	1.0	18.59	6.06e-17	19.28	5.43e-21	0.89
chr9-1007	chr9	60747157	60747291	+	17.9	0.933	20.000000	18.6	3.0	6.20	3.57e-09	12.75	2.77e-17	0.94
chr9-1008	chr9	62666278	62666412	+	17.9	0.960	20.000000	18.6	3.0	6.20	3.57e-09	26.55	6.19e-24	0.89
chr9-961	chr9	65158613	65158747	+	17.9	0.821	21.000000	18.6	2.0	9.29	6.19e-12	18.83	8.89e-21	0.80
chr9-1171	chr9	65915034	65915168	+	17.9	0.871	17.000000	18.6	2.0	9.29	6.19e-12	5.08	1.47e-09	1.06
chr9-1011	chr9	65975115	65975249	+	17.9	0.714	20.000000	18.6	4.0	4.65	2.48e-07	12.09	8.24e-17	0.89
chr9-967	chr9	71335735	71335869	+	17.9	0.923	21.000000	18.6	1.0	18.59	6.06e-17	11.33	3.07e-16	0.85
chr9-1270	chr9	73958628	73958762	+	17.9	0.848	16.000000	18.6	2.0	9.29	6.19e-12	19.75	3.28e-21	1.13
chr9-908	chr9	77957664	77957798	+	17.9	0.824	22.000000	18.6	0.5	37.17	3.61e-22	6.35	2.42e-11	0.85
chr9-1279	chr9	94772560	94772694	+	17.9	0.862	16.000000	18.6	1.0	18.59	6.06e-17	26.13	8.74e-24	1.06
chr9-1120	chr9	96279939	96280073	+	17.9	0.784	18.000000	18.6	4.0	4.65	2.48e-07	19.75	3.28e-21	0.94
chr9-1195	chr9	100952603	100952737	+	17.9	0.857	17.000000	18.6	1.0	18.59	6.06e-17	13.28	1.22e-17	1.06
chr9-1122	chr9	102630241	102630375	+	17.9	0.788	18.000000	18.6	1.0	18.59	6.06e-17	8.57	7.81e-14	0.99
chr9-1130	chr9	110237734	110237868	+	17.9	0.718	18.000000	18.6	1.0	18.59	6.06e-17	11.91	1.11e-16	0.94
chr9-1078	chr9	110587065	110587199	+	17.9	0.649	19.000000	18.6	4.0	4.65	2.48e-07	5.98	7.52e-11	0.89
chr9-1201	chr9	115105593	115105727	+	17.9	0.920	17.000000	18.6	1.0	18.59	6.06e-17	14.46	2.12e-18	0.99
chr9-1205	chr9	120191930	120192064	+	17.9	0.688	17.000000	18.6	3.0	6.20	3.57e-09	21.89	3.81e-22	0.99
chr9-1083	chr9	122044344	122044478	+	17.9	0.839	19.000000	18.6	1.0	18.59	6.06e-17	12.00	9.58e-17	0.89
chr10-891	chr10	3202202	3202336	+	17.9	0.815	18.000000	18.6	2.0	9.29	6.19e-12	5.60	2.45e-10	0.99
chr10-952	chr10	10873336	10873470	+	17.9	0.719	17.000000	18.6	1.0	18.59	6.06e-17	18.41	1.44e-20	1.06
chr10-829	chr10	17242222	17242356	+	17.9	0.917	19.000000	18.6	2.0	9.29	6.19e-12	21.89	3.81e-22	0.89
chr10-780	chr10	18111540	18111674	+	17.9	0.897	20.000000	18.6	2.0	9.29	6.19e-12	18.00	2.29e-20	0.89
chr10-897	chr10	19210427	19210561	+	17.9	0.821	18.000000	18.6	0.5	37.17	3.61e-22	6.16	4.31e-11	0.99
chr10-782	chr10	19214346	19214480	+	17.9	0.742	20.000000	18.6	4.0	4.65	2.48e-07	6.51	1.55e-11	0.85
chr10-833	chr10	20065430	20065564	+	17.9	0.862	19.000000	18.6	2.0	9.29	6.19e-12	13.61	7.35e-18	0.89
chr10-1033	chr10	21296892	21297026	+	17.9	0.657	16.000000	18.6	2.0	9.29	6.19e-12	6.09	5.33e-11	1.13
chr10-1035	chr10	21695496	21695630	+	17.9	0.857	16.000000	18.6	3.0	6.20	3.57e-09	14.73	1.46e-18	1.06
chr10-734	chr10	24802735	24802869	+	17.9	0.617	21.000000	18.6	3.0	6.20	3.57e-09	8.95	3.35e-14	0.85
chr10-836	chr10	25017047	25017181	+	17.9	0.758	19.000000	18.6	1.0	18.59	6.06e-17	15.88	3.08e-19	0.94
chr10-1042	chr10	29076688	29076822	+	17.9	0.857	16.000000	18.6	0.5	37.17	3.61e-22	11.65	1.73e-16	1.13
chr10-841	chr10	33991526	33991660	+	17.9	0.880	19.000000	18.6	0.5	37.17	3.61e-22	44.99	7.96e-29	0.89
chr10-788	chr10	37045139	37045273	+	17.9	0.885	20.000000	18.6	0.5	37.17	3.61e-22	4.37	2.08e-08	0.85
chr10-901	chr10	40068559	40068693	+	17.9	0.571	18.000000	18.6	4.0	4.65	2.48e-07	12.00	9.58e-17	0.99
chr10-902	chr10	41318944	41319078	+	17.9	0.694	18.000000	18.6	0.5	37.17	3.61e-22	10.73	9.15e-16	0.94
chr10-844	chr10	41460118	41460252	+	17.9	0.694	19.000000	18.6	2.0	9.29	6.19e-12	11.57	2.00e-16	0.99
chr10-905	chr10	43199858	43199992	+	17.9	0.848	18.000000	18.6	3.0	6.20	3.57e-09	12.09	8.24e-17	1.06
chr10-797	chr10	44204054	44204188	+	17.9	0.778	20.000000	18.6	0.5	37.17	3.61e-22	27.00	4.36e-24	0.89
chr10-852	chr10	61681162	61681296	+	17.9	0.821	19.000000	18.6	2.0	9.29	6.19e-12	7.90	3.80e-13	0.89
chr10-805	chr10	67566805	67566939	+	17.9	0.846	20.000000	18.6	3.0	6.20	3.57e-09	14.46	2.12e-18	0.85
chr10-750	chr10	75021351	75021485	+	17.9	0.719	21.000000	18.6	4.0	4.65	2.48e-07	5.21	9.29e-10	0.85
chr10-809	chr10	77032809	77032943	+	17.9	0.839	20.000000	18.6	1.0	18.59	6.06e-17	14.86	1.21e-18	0.89
chr10-757	chr10	80855185	80855319	+	17.9	0.763	21.000000	18.6	3.0	6.20	3.57e-09	8.26	1.59e-13	0.85
chr10-927	chr10	80888461	80888595	+	17.9	0.706	18.000000	18.6	4.0	4.65	2.48e-07	6.16	4.31e-11	0.94
chr10-812	chr10	86514580	86514714	+	17.9	0.800	20.000000	18.6	0.5	37.17	3.61e-22	21.04	8.77e-22	0.94
chr10-993	chr10	92702347	92702481	+	17.9	0.767	17.000000	18.6	1.0	18.59	6.06e-17	14.86	1.21e-18	0.99
chr10-814	chr10	93957417	93957551	+	17.9	0.923	20.000000	18.6	1.0	18.59	6.06e-17	25.31	1.71e-23	0.85
chr10-939	chr10	94609055	94609189	+	17.9	0.688	18.000000	18.6	0.5	37.17	3.61e-22	9.64	7.68e-15	0.94
chr10-877	chr10	94723423	94723557	+	17.9	0.829	19.000000	18.6	4.0	4.65	2.48e-07	14.86	1.21e-18	0.94
chr10-817	chr10	95693225	95693359	+	17.9	0.806	20.000000	18.6	3.0	6.20	3.57e-09	14.73	1.46e-18	0.89
chr10-881	chr10	104872105	104872239	+	17.9	0.730	19.000000	18.6	4.0	4.65	2.48e-07	18.20	1.82e-20	0.94
chr10-771	chr10	110827083	110827217	+	17.9	0.815	21.000000	18.6	3.0	6.20	3.57e-09	31.76	1.38e-25	0.85
chr10-773	chr10	117480930	117481064	+	17.9	0.862	21.000000	18.6	0.5	37.17	3.61e-22	24.18	4.50e-23	0.85
chr10-822	chr10	120787111	120787245	+	17.9	0.778	20.000000	18.6	1.0	18.59	6.06e-17	14.09	3.65e-18	0.85
chr10-727	chr10	127473940	127474074	+	17.9	0.744	22.000000	18.6	4.0	4.65	2.48e-07	4.64	7.20e-09	0.89
